month_year,delivery_percentage,punctuality_percentage
2026-04-01,0.9855,0.9338
2026-03-01,0.9918,0.9434
2026-02-01,0.9890,0.9426
2026-01-01,0.9858,0.9278
2025-12-01,0.9919,0.9488
2025-11-01,0.9903,0.9499
2025-10-01,0.9925,0.9440
2025-09-01,0.9922,0.9453
2025-08-01,0.9923,0.9441
2025-07-01,0.9741,0.9400
2025-06-01,0.9910,0.9445
2025-05-01,0.9907,0.9346
2025-04-01,0.9903,0.9444
2025-03-01,0.9876,0.9324
2025-02-01,0.9894,0.9384
2025-01-01,0.9879,0.9496
2024-12-01,0.9838,0.9247
2024-11-01,0.9894,0.9347
2024-10-01,0.9884,0.9340
2024-09-01,0.9869,0.9320
2024-08-01,0.9887,0.9290
2024-07-01,0.9875,0.9241
2024-06-01,0.9909,0.9370
2024-05-01,0.9871,0.9251
2024-04-01,0.9886,0.9193
2024-03-01,0.9895,0.9248
2024-02-01,0.9838,0.9212
2024-01-01,0.9881,0.9432
