stop_id,station_name,station_latitude,station_longitude,annual_passenger_count_2019,annual_passenger_count_2024,annual_change,annual_change_pct
19827,Stony Point,-38.37423454,145.2218375,4350,6950,2600,0.5977011494252874
19828,Crib Point,-38.36612338,145.2040433,10800,7900,-2900,-0.26851851851851855
19829,Morradoo,-38.35403334,145.1896025,3400,3400,0,0.0
19830,Bittern,-38.33739032,145.1780265,9400,8800,-600,-0.06382978723404255
19831,Hastings,-38.30565853,145.1859799,14000,10850,-3150,-0.225
19832,Tyabb,-38.259815,145.1864007,3700,4050,350,0.0945945945945946
19833,Somerville,-38.22534196,145.1762449,8950,8050,-900,-0.1005586592178771
19834,Baxter,-38.19404306,145.1605261,2000,2500,500,0.25
19835,Glen Iris,-37.85930842,145.0582249,253400,261300,7900,0.031176006314127862
19836,Leawarra,-38.152034,145.139534,6750,5500,-1250,-0.18518518518518517
19837,Darling,-37.86895684,145.0629508,267750,262650,-5100,-0.01904761904761905
19838,East Malvern,-37.87693002,145.069393,400500,333800,-66700,-0.166541822721598
19839,Holmesglen,-37.87440222,145.090662,439050,383100,-55950,-0.12743423300307483
19840,Jordanville,-37.87360339,145.1120902,402000,388950,-13050,-0.03246268656716418
19844,Belgrave,-37.9091021,145.3552913,296550,283100,-13450,-0.04535491485415613
19845,Tecoma,-37.90811849,145.3429946,59400,47250,-12150,-0.20454545454545456
19846,Upwey,-37.90369097,145.3313334,120700,97850,-22850,-0.18931234465617233
19847,Alamein,-37.86832039,145.0796557,113450,96200,-17250,-0.15204936095196123
19848,Ashburton,-37.86196753,145.0813438,239200,201950,-37250,-0.15572742474916387
19849,Burwood,-37.85156328,145.0805111,268750,221250,-47500,-0.17674418604651163
19850,Hartwell,-37.84398457,145.0755596,165200,138050,-27150,-0.1643462469733656
19851,Willison,-37.83571565,145.0702976,80300,73100,-7200,-0.0896637608966376
19852,Riversdale,-37.83150543,145.069646,161750,144000,-17750,-0.10973724884080371
19853,Camberwell,-37.82656714,145.0586972,1496350,1260400,-235950,-0.15768369699602366
19855,Frankston,-38.14299007,145.1261623,896100,1035450,139350,0.15550719785738198
19856,Kananook,-38.12174203,145.1352953,186150,173050,-13100,-0.0703733548213806
19857,Seaford,-38.10402104,145.1282304,317100,320500,3400,0.010722169662567014
19858,Carrum,-38.07489292,145.1224183,41600,343700,302100,7.262019230769231
19859,Bonbeach,-38.06294478,145.1196804,220450,141600,-78850,-0.35767747788614196
19860,Chelsea,-38.05195538,145.1160413,352400,352250,-150,-0.0004256526674233825
19861,Edithvale,-38.03805602,145.1085355,196750,201450,4700,0.02388818297331639
19862,Aspendale,-38.02722019,145.1021496,156650,169500,12850,0.08203000319182892
19863,Mordialloc,-38.00658295,145.0876594,550700,529850,-20850,-0.03786090430361358
19864,Parkdale,-37.99307882,145.0763268,299300,268050,-31250,-0.10441029067824925
19865,Mentone,-37.9818654,145.0651659,528700,583650,54950,0.10393417817287687
19866,Cheltenham,-37.96664989,145.0545579,454850,717500,262650,0.5774431131142135
19867,Upper Ferntree Gully,-37.8926717,145.3075302,210850,180450,-30400,-0.14417832582404552
19868,Ferntree Gully,-37.88169799,145.2952513,375900,337700,-38200,-0.10162277201383346
19869,Boronia,-37.8604518,145.2843851,539350,462850,-76500,-0.1418373968665987
19870,Bayswater,-37.84173004,145.2681364,417400,446150,28750,0.06887877335888835
19871,Heathmont,-37.82832227,145.2445554,214600,199600,-15000,-0.06989748369058714
19872,Highett,-37.948425,145.0418718,328050,410950,82900,0.25270538027739675
19873,Glen Waverley,-37.87950407,145.1620575,1305600,1209700,-95900,-0.07345281862745098
19874,Syndal,-37.87622963,145.1497805,708350,698100,-10250,-0.014470247758876262
19875,Mount Waverley,-37.87525526,145.1280557,662850,658250,-4600,-0.006939729953986573
19876,Lilydale,-37.75551777,145.3477102,556700,512300,-44400,-0.07975570325130232
19877,Mooroolbark,-37.78474883,145.3124024,568300,569250,950,0.001671652296322365
19878,Croydon,-37.79543697,145.2805978,726050,447350,-278700,-0.3838578610288548
19879,Ringwood East,-37.81196804,145.2501909,369900,268800,-101100,-0.2733171127331711
19880,Pakenham,-38.08061397,145.4863791,465800,495750,29950,0.06429798196650924
19881,Officer,-38.06614572,145.4109872,132100,208600,76500,0.579106737320212
19882,Beaconsfield,-38.05083135,145.3660737,234200,199950,-34250,-0.14624252775405636
19883,Berwick,-38.04040829,145.3457261,754550,1008200,253650,0.33616062553840037
