stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year,train_line_name
19827,Stony Point,-38.37423454,145.2218375,50,4350,FY19-20,Stony Point
19828,Crib Point,-38.36612338,145.2040433,50,10800,FY19-20,Stony Point
19829,Morradoo,-38.35403334,145.1896025,50,3400,FY19-20,Stony Point
19830,Bittern,-38.33739032,145.1780265,50,9400,FY19-20,Stony Point
19831,Hastings,-38.30565853,145.1859799,50,14000,FY19-20,Stony Point
19832,Tyabb,-38.259815,145.1864007,50,3700,FY19-20,Stony Point
19833,Somerville,-38.22534196,145.1762449,50,8950,FY19-20,Stony Point
19834,Baxter,-38.19404306,145.1605261,50,2000,FY19-20,Stony Point
19835,Glen Iris,-37.85930842,145.0582249,850,253400,FY19-20,Glen Waverley
19836,Leawarra,-38.152034,145.139534,50,6750,FY19-20,Stony Point
19837,Darling,-37.86895684,145.0629508,900,267750,FY19-20,Glen Waverley
19838,East Malvern,-37.87693002,145.069393,1350,400500,FY19-20,Glen Waverley
19839,Holmesglen,-37.87440222,145.090662,1450,439050,FY19-20,Glen Waverley
19840,Jordanville,-37.87360339,145.1120902,1350,402000,FY19-20,Glen Waverley
19844,Belgrave,-37.9091021,145.3552913,950,296550,FY19-20,Belgrave
19845,Tecoma,-37.90811849,145.3429946,200,59400,FY19-20,Belgrave
19846,Upwey,-37.90369097,145.3313334,400,120700,FY19-20,Belgrave
19847,Alamein,-37.86832039,145.0796557,400,113450,FY19-20,Alamein
19848,Ashburton,-37.86196753,145.0813438,850,239200,FY19-20,Alamein
19849,Burwood,-37.85156328,145.0805111,950,268750,FY19-20,Alamein
19850,Hartwell,-37.84398457,145.0755596,600,165200,FY19-20,Alamein
19851,Willison,-37.83571565,145.0702976,300,80300,FY19-20,Alamein
19852,Riversdale,-37.83150543,145.069646,600,161750,FY19-20,Alamein
19853,Camberwell,-37.82656714,145.0586972,4850,1496350,FY19-20,"Alamein, Belgrave, Lilydale"
19855,Frankston,-38.14299007,145.1261623,2750,896100,FY19-20,"Frankston, Stony Point"
19856,Kananook,-38.12174203,145.1352953,650,186150,FY19-20,Frankston
19857,Seaford,-38.10402104,145.1282304,1050,317100,FY19-20,Frankston
19858,Carrum,-38.07489292,145.1224183,150,41600,FY19-20,Frankston
19859,Bonbeach,-38.06294478,145.1196804,700,220450,FY19-20,Frankston
19860,Chelsea,-38.05195538,145.1160413,1150,352400,FY19-20,Frankston
19861,Edithvale,-38.03805602,145.1085355,650,196750,FY19-20,Frankston
19862,Aspendale,-38.02722019,145.1021496,500,156650,FY19-20,Frankston
19863,Mordialloc,-38.00658295,145.0876594,1750,550700,FY19-20,Frankston
19864,Parkdale,-37.99307882,145.0763268,1000,299300,FY19-20,Frankston
19865,Mentone,-37.9818654,145.0651659,1800,528700,FY19-20,Frankston
19866,Cheltenham,-37.96664989,145.0545579,1550,454850,FY19-20,Frankston
19867,Upper Ferntree Gully,-37.8926717,145.3075302,700,210850,FY19-20,Belgrave
19868,Ferntree Gully,-37.88169799,145.2952513,1300,375900,FY19-20,Belgrave
19869,Boronia,-37.8604518,145.2843851,1800,539350,FY19-20,Belgrave
19870,Bayswater,-37.84173004,145.2681364,1400,417400,FY19-20,Belgrave
19871,Heathmont,-37.82832227,145.2445554,750,214600,FY19-20,Belgrave
19872,Highett,-37.948425,145.0418718,1050,328050,FY19-20,Frankston
19873,Glen Waverley,-37.87950407,145.1620575,4250,1305600,FY19-20,Glen Waverley
