stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year
15351,Sunbury,-37.57909097,144.7273188,2200,691050,FY24-25
15353,Diggers Rest,-37.62701651,144.7199224,550,165600,FY24-25
19827,Stony Point,-38.37423454,145.2218375,50,6950,FY24-25
19828,Crib Point,-38.36612338,145.2040433,50,7900,FY24-25
19829,Morradoo,-38.35403334,145.1896025,50,3400,FY24-25
19830,Bittern,-38.33739032,145.1780265,50,8800,FY24-25
19831,Hastings,-38.30565853,145.1859799,50,10850,FY24-25
19832,Tyabb,-38.259815,145.1864007,50,4050,FY24-25
19833,Somerville,-38.22534196,145.1762449,50,8050,FY24-25
19834,Baxter,-38.19404306,145.1605261,50,2500,FY24-25
19835,Glen Iris,-37.85930842,145.0582249,850,261300,FY24-25
19836,Leawarra,-38.152034,145.139534,50,5500,FY24-25
19837,Darling,-37.86895684,145.0629508,800,262650,FY24-25
19838,East Malvern,-37.87693002,145.069393,1050,333800,FY24-25
19839,Holmesglen,-37.87440222,145.090662,1200,383100,FY24-25
19840,Jordanville,-37.87360339,145.1120902,1250,388950,FY24-25
19841,Flagstaff,-37.81198131,144.9556538,12350,3445200,FY24-25
19842,Melbourne Central,-37.80993877,144.9625935,38300,11876900,FY24-25
19843,Parliament,-37.81105406,144.9729109,22350,6344650,FY24-25
19844,Belgrave,-37.9091021,145.3552913,850,283100,FY24-25
19845,Tecoma,-37.90811849,145.3429946,150,47250,FY24-25
19846,Upwey,-37.90369097,145.3313334,300,97850,FY24-25
19847,Alamein,-37.86832039,145.0796557,300,96200,FY24-25
19848,Ashburton,-37.86196753,145.0813438,700,201950,FY24-25
19849,Burwood,-37.85156328,145.0805111,750,221250,FY24-25
19850,Hartwell,-37.84398457,145.0755596,450,138050,FY24-25
19851,Willison,-37.83571565,145.0702976,250,73100,FY24-25
19852,Riversdale,-37.83150543,145.069646,550,144000,FY24-25
19853,Camberwell,-37.82656714,145.0586972,3950,1260400,FY24-25
19854,Flinders Street,-37.81830513,144.9669643,60900,19633300,FY24-25
19855,Frankston,-38.14299007,145.1261623,3050,1035450,FY24-25
19856,Kananook,-38.12174203,145.1352953,550,173050,FY24-25
19857,Seaford,-38.10402104,145.1282304,1000,320500,FY24-25
19858,Carrum,-38.07489292,145.1224183,1050,343700,FY24-25
19859,Bonbeach,-38.06294478,145.1196804,450,141600,FY24-25
19860,Chelsea,-38.05195538,145.1160413,1100,352250,FY24-25
19861,Edithvale,-38.03805602,145.1085355,650,201450,FY24-25
19862,Aspendale,-38.02722019,145.1021496,550,169500,FY24-25
19863,Mordialloc,-38.00658295,145.0876594,1600,529850,FY24-25
19864,Parkdale,-37.99307882,145.0763268,850,268050,FY24-25
19865,Mentone,-37.9818654,145.0651659,1900,583650,FY24-25
19866,Cheltenham,-37.96664989,145.0545579,2200,717500,FY24-25
19867,Upper Ferntree Gully,-37.8926717,145.3075302,550,180450,FY24-25
19868,Ferntree Gully,-37.88169799,145.2952513,1150,337700,FY24-25
19869,Boronia,-37.8604518,145.2843851,1500,462850,FY24-25
19870,Bayswater,-37.84173004,145.2681364,1450,446150,FY24-25
19871,Heathmont,-37.82832227,145.2445554,700,199600,FY24-25
19872,Highett,-37.948425,145.0418718,1250,410950,FY24-25
19873,Glen Waverley,-37.87950407,145.1620575,3650,1209700,FY24-25
19874,Syndal,-37.87622963,145.1497805,2200,698100,FY24-25
19875,Mount Waverley,-37.87525526,145.1280557,2100,658250,FY24-25
19876,Lilydale,-37.75551777,145.3477102,1600,512300,FY24-25
19877,Mooroolbark,-37.78474883,145.3124024,1900,569250,FY24-25
19878,Croydon,-37.79543697,145.2805978,1500,447350,FY24-25
19879,Ringwood East,-37.81196804,145.2501909,900,268800,FY24-25
19880,Pakenham,-38.08061397,145.4863791,1550,495750,FY24-25
19881,Officer,-38.06614572,145.4109872,700,208600,FY24-25
19882,Beaconsfield,-38.05083135,145.3660737,700,199950,FY24-25
19883,Berwick,-38.04040829,145.3457261,3450,1008200,FY24-25
19884,Narre Warren,-38.02780932,145.3039694,1700,522200,FY24-25
19885,Hallam,-38.01774038,145.2697768,1750,521500,FY24-25
19886,Cranbourne,-38.09953731,145.280599,3500,1054250,FY24-25
19887,Merinda Park,-38.07900048,145.2635114,1950,577750,FY24-25
19888,Dandenong,-37.98996792,145.2097254,6300,1970750,FY24-25
19889,Yarraman,-37.97825454,145.1916003,900,272450,FY24-25
19890,Noble Park,-37.96723193,145.1769357,3200,993800,FY24-25
19891,Sandown Park,-37.95650457,145.1628259,1550,458700,FY24-25
19892,East Camberwell,-37.82589419,145.0681902,600,185950,FY24-25
19893,Canterbury,-37.82448518,145.0812242,850,268450,FY24-25
19894,Chatham,-37.82429952,145.0886479,600,183300,FY24-25
19897,Laburnum,-37.82078023,145.1407027,1000,316900,FY24-25
19898,Blackburn,-37.82007075,145.1500135,3750,1206950,FY24-25
19899,Nunawading,-37.82060317,145.1748917,2500,758050,FY24-25
19900,Mitcham,-37.81800987,145.1919735,3050,925550,FY24-25
19901,Heatherdale,-37.81889537,145.2127872,1500,448700,FY24-25
19902,Ringwood,-37.81588648,145.2289685,4650,1514250,FY24-25
19903,Auburn,-37.82239831,145.0458437,2050,650000,FY24-25
19904,Glenferrie,-37.82146682,145.0364388,6800,1978650,FY24-25
19905,Hawthorn,-37.82182601,145.0228987,1750,531400,FY24-25
19906,Burnley,-37.82756022,145.0075551,2950,881250,FY24-25
19907,East Richmond,-37.82639995,144.9970657,2050,575900,FY24-25
19908,Richmond,-37.82407446,144.9901643,9850,3712750,FY24-25
19909,Heyington,-37.83467244,145.0226353,650,189500,FY24-25
19910,Kooyong,-37.83992894,145.0335516,750,233000,FY24-25
19911,Tooronga,-37.84936553,145.0417337,1500,453150,FY24-25
19912,Gardiner,-37.85327908,145.0516547,1200,399400,FY24-25
19913,Springvale,-37.94950878,145.1534518,4300,1429400,FY24-25
19914,Westall,-37.93849121,145.1388326,1950,634250,FY24-25
19915,Clayton,-37.92468255,145.1205344,4750,1514000,FY24-25
19916,Huntingdale,-37.91101734,145.1023643,5650,1590050,FY24-25
19917,Oakleigh,-37.90037214,145.0883079,5150,1624200,FY24-25
19918,Hughesdale,-37.89488129,145.0776351,1800,555350,FY24-25
19919,Murrumbeena,-37.89019832,145.0673749,2350,712400,FY24-25
19920,Carnegie,-37.88624148,145.0585751,3250,1015400,FY24-25
19921,Werribee,-37.89937805,144.661118,3550,1049600,FY24-25
19922,Hoppers Crossing,-37.88327618,144.7009549,3150,925850,FY24-25
19923,Laverton,-37.86369404,144.7726167,3000,892250,FY24-25
19924,Aircraft,-37.86660595,144.7608094,800,248850,FY24-25
19925,Westona,-37.86516348,144.8134936,750,229400,FY24-25
19926,Altona,-37.8671476,144.8296447,800,263300,FY24-25
19927,Seaholme,-37.86784231,144.8409577,300,93100,FY24-25
19928,Westgarth,-37.7806207,144.9992332,650,201950,FY24-25
19929,Dennis,-37.77918729,145.0082416,850,260800,FY24-25
19930,Fairfield,-37.77917126,145.0169053,1350,437700,FY24-25
19931,Alphington,-37.77839363,145.0312549,800,249100,FY24-25
19932,Darebin,-37.77496341,145.038476,350,112450,FY24-25
19933,Ivanhoe,-37.76889674,145.0454252,2000,617600,FY24-25
19934,Eaglemont,-37.76358553,145.0539427,400,126500,FY24-25
19935,Heidelberg,-37.75707293,145.0606855,2700,822300,FY24-25
19936,Rosanna,-37.7428786,145.0661403,1400,432900,FY24-25
19937,Moorabbin,-37.93435329,145.0367383,1650,520000,FY24-25
19938,Patterson,-37.92514919,145.03547,900,287550,FY24-25
19939,Bentleigh,-37.91742457,145.0369951,1750,586000,FY24-25
19940,McKinnon,-37.91030903,145.038299,1150,369950,FY24-25
19941,Ormond,-37.90321167,145.0396134,1650,539450,FY24-25
19942,Glenhuntly,-37.88971946,145.0422229,1950,641550,FY24-25
19943,Caulfield,-37.87745946,145.0425248,9600,3205100,FY24-25
19944,Malvern,-37.8662533,145.0292939,2200,703650,FY24-25
19945,Armadale,-37.85645238,145.0193255,1500,469600,FY24-25
19946,Toorak,-37.85077381,145.0139086,1350,417900,FY24-25
19947,Hawksburn,-37.84459087,145.0021421,1400,447000,FY24-25
19948,Sandringham,-37.95033018,145.0045614,2100,710850,FY24-25
19949,Hampton,-37.93797681,145.0014706,1500,482700,FY24-25
19950,Brighton Beach,-37.92648432,144.9891536,1000,332650,FY24-25
19951,Middle Brighton,-37.91513441,144.9962991,1550,512250,FY24-25
19952,North Brighton,-37.90488721,145.002605,1600,502000,FY24-25
19953,Gardenvale,-37.89669508,145.0041684,1200,380050,FY24-25
19954,Elsternwick,-37.88475311,145.0008979,2400,763550,FY24-25
19955,Ripponlea,-37.87590643,144.9952366,1500,465900,FY24-25
19956,Balaclava,-37.86948773,144.9935121,2400,752350,FY24-25
19957,Windsor,-37.85605308,144.9920352,1900,586800,FY24-25
19958,Prahran,-37.84951848,144.9898599,2800,879500,FY24-25
19959,South Yarra,-37.83844935,144.9923422,10350,3199050,FY24-25
19960,Upfield,-37.66607779,144.9467399,850,264250,FY24-25
19961,Gowrie,-37.700678,144.9588743,700,232350,FY24-25
19962,Fawkner,-37.71462129,144.960545,450,146600,FY24-25
19963,Merlynston,-37.72093389,144.9613135,900,284100,FY24-25
19964,Batman,-37.73352285,144.9628406,700,228750,FY24-25
19965,Coburg,-37.74234502,144.9633363,1550,511300,FY24-25
19966,Moreland,-37.75448484,144.961823,850,273050,FY24-25
19967,Anstey,-37.76124203,144.960684,1100,365100,FY24-25
19968,Brunswick,-37.76772055,144.9595865,1050,350600,FY24-25
19969,Jewell,-37.77498702,144.9587169,1200,395350,FY24-25
