train_line_name,on_time_percentage,cancellation_percentage,scheduled_trains
Alamein,0.9530030539531728,0.0045309898632273,47451
Belgrave,0.9196688078548224,0.0034285177531467,42584
Craigieburn,0.9015985536043534,0.0084841429428158,56694
Cranbourne,0.9582567319130528,0.0066219881921174,50136
Frankston,0.9257135624327572,0.0087404311330231,86609
Glen Waverley,0.9738877387602046,0.0047872855896889,51595
Hurstbridge,0.946493890575142,0.0191486382412658,57132
Lilydale,0.9495181761795984,0.0054228819163788,68045
Mernda,0.957575863210918,0.0105378335156973,59405
Pakenham,0.9544819832072972,0.0117700983842716,61087
Sandringham,0.9712532666742416,0.005665813575418,62127
Sunbury,0.9154340116929172,0.010277601186692,66066
Upfield,0.9426133707339878,0.0042457945866119,43337
Werribee,0.9225958170719504,0.0075894732268296,69043
Williamstown,0.947255880256593,0.0063722067039106,45824
