day_of_week,time_of_day_hour,passenger_count
Friday,5,796.820008538
Friday,6,2072.9787823079996
Friday,7,11934.424718586
Friday,8,8985.899825628
Friday,9,1384.041001959
Friday,10,3926.3479746049998
Friday,11,9029.053599285
Friday,12,747.731152747
Friday,13,7344.016094885
Friday,14,8698.444298673
Friday,15,6628.221631357
Friday,16,5385.013651589
Friday,17,11672.561590081
Friday,18,4972.405288438
Friday,19,2781.104071971
Friday,20,2397.328753725
Friday,21,4075.868901498
Friday,22,3603.967805669
Friday,23,1769.248260378
Monday,5,1366.848257875
Monday,6,3936.5700235199997
Monday,7,21097.876148786
Monday,8,6530.422202741
Monday,9,11035.668498736
Monday,11,1335.588784616
Monday,12,1766.6620969389999
Monday,13,1525.838204084
Monday,14,5431.635495742
Monday,15,6971.468729522
Monday,16,5498.691994674
Monday,17,21445.364086145
Monday,18,6005.113145945
Monday,19,2923.61303557
Monday,20,2605.887126397
Monday,21,2214.749582426
Monday,22,720.633857795
Saturday,6,851.419821135
Saturday,7,619.391808289
Saturday,9,3200.120636801
Saturday,10,2884.250234309
Saturday,11,251.145386296
Saturday,12,8075.711155975
Saturday,13,1445.465995054
Saturday,14,6217.269346844
Saturday,15,1766.933066502
Saturday,16,2702.778093839
Saturday,17,1940.976425632
Saturday,18,1401.085153737
Saturday,19,1001.069759214
Saturday,20,1379.471095787
Saturday,22,1979.329943451
Sunday,5,1679.830709344
Sunday,6,1679.830709344
Sunday,9,5362.665511804
Sunday,11,6691.537764549999
Sunday,12,634.319754481
Sunday,13,3015.7051166740002
Sunday,14,5362.665511804
Sunday,15,2113.726167193
Sunday,16,2589.736783503
Sunday,17,1586.491732425
Sunday,21,1217.359282801
Thursday,5,4311.074576498
Thursday,6,7259.393481889
Thursday,7,12193.631049355
Thursday,8,11248.605890716
Thursday,9,2548.572730366
Thursday,10,2667.927666749
Thursday,11,3894.951380593
Thursday,12,1314.7873748050001
Thursday,13,5265.267924972
Thursday,14,1344.1463924720001
Thursday,15,8971.658066218999
Thursday,16,6510.140892754
Thursday,17,9687.23600528
Thursday,18,9468.599797902
Thursday,19,3576.563679721
Thursday,21,1093.970054887
Thursday,22,959.541678491
Thursday,23,2267.748573441
Tuesday,5,1230.908309601
Tuesday,6,1871.023790974
Tuesday,7,7646.063534193
Tuesday,8,18282.563202724
Tuesday,9,2327.390215297
Tuesday,10,3852.369365548
Tuesday,11,5312.052153504001
Tuesday,12,2051.012266318
Tuesday,13,8862.251144611
Tuesday,14,3975.1425588849997
Tuesday,15,5893.348397851
Tuesday,16,7828.431369158
Tuesday,17,9164.559922332
Tuesday,18,4411.717995741
Tuesday,19,500.503214495
Tuesday,20,2998.807703697
Tuesday,21,1564.0434455270001
Wednesday,6,7833.741586461
Wednesday,7,10335.718713723
Wednesday,8,5134.180115904
Wednesday,9,1561.369487667
Wednesday,11,2725.520374934
Wednesday,12,12102.127390458001
Wednesday,13,1007.871026412
Wednesday,14,3662.632532369
Wednesday,15,5916.20333854
Wednesday,16,17210.586452733
Wednesday,17,11381.748655314
Wednesday,18,11523.545956210999
Wednesday,19,2444.110248952
Wednesday,20,1400.580038137
Wednesday,21,3940.565309603
Wednesday,22,682.63947
