"Line (Alamein, Belgrave, etc)",% TT delivered (Train),% ontime (Train|dest),% cancelled (Train),% short (Train),% bypass (Train|Loops),% skip services (Train),# scheduled (Train),# scheduled (Train|dest),# ontime (Train|dest),# cancelled (Train),# short (Train),# bypass (Train|Loops),# skip services (Train)
Alamein,0.99440475437820064,0.95300305395317275,0.0045309898632273291,0.0031190069756169524,0.0016859497165497039,0.00059008240079239636,47451.0,47152.0,44936.0,215.0,148.0,80.0,28.0
Belgrave,0.99172517847078712,0.91966880785482252,0.0034285177531467219,0.01669641179785835,0.0049079466466278414,0.00046965996618448245,42584.0,40943.0,37654.0,146.0,711.0,209.0,20.0
Craigieburn,0.98942127914770528,0.90159855360435348,0.0084841429428158185,0.0071788901823826154,0.0020284333439164639,0.00037040956714996294,56694.0,55863.0,50366.0,481.0,407.0,115.0,21.0
Cranbourne,0.99084739508536779,0.95825673191305283,0.0066219881921174405,0.0083373224828466579,0.0033508855911919579,0.00021940322323280676,50136.0,46235.0,44305.0,332.0,418.0,168.0,11.0
Frankston,0.98870354120241544,0.92571356243275738,0.0087404311330231271,0.0092830999087854613,0.0013162604348277893,0.00056576106409264625,86609.0,79005.0,73136.0,757.0,804.0,114.0,49.0
Glen Waverley,0.99367186742901448,0.97388773876020462,0.0047872855896889232,0.0038763446070355654,0.0037794359918596762,0.00079465064444229092,51595.0,51202.0,49865.0,247.0,200.0,195.0,41.0
Hurstbridge,0.97815366169572215,0.946493890575142,0.01914863824126584,0.00945179584120983,0.0023279423090387173,0.00035006651263740112,57132.0,51396.0,48646.0,1094.0,540.0,133.0,20.0
Lilydale,0.99098941876699242,0.94951817617959855,0.0054228819163788669,0.011918583290469542,0.00430597398780219,0.00055845396428833862,68045.0,66103.0,62766.0,369.0,811.0,293.0,38.0
Mernda,0.98343363353253088,0.957575863210918,0.010537833515697332,0.022523356619813147,0.0027438767780489856,0.00043767359649861122,59405.0,57373.0,54939.0,626.0,1338.0,163.0,26.0
Pakenham,0.98502340923600762,0.95448198320729738,0.011770098384271612,0.0099366477319233221,0.0051565799597295663,0.00062206361418959844,61087.0,55143.0,52633.0,719.0,607.0,315.0,38.0
Sandringham,0.99368430794984464,0.97125326667424161,0.0056658135754180956,0.0025431776844206224,0.0,0.00011267242905660984,62127.0,61607.0,59836.0,352.0,158.0,0.0,7.0
Stony Point,0.95645616982284665,0.90578090067071226,0.043372021991447768,0.00061087354917532073,0.0,0.00015271838729383018,6548,6262.0,5672.0,284.0,4.0,0.0,1.0,
Sunbury,0.9880895619531983,0.91543401169291716,0.010277601186692097,0.0060394151303242213,0.000514636878273242,0.00046922774195501469,66066.0,62602.0,57308.0,679.0,399.0,34.0,31.0
Upfield,0.99245736899185455,0.94261337073398788,0.0042457945866119021,0.01266815884809747,0.00089992385259708794,0.00013844982347647507,43337.0,42780.0,40325.0,184.0,549.0,39.0,6.0
Werribee,0.98959344176817343,0.92259581707195037,0.0075894732268296568,0.0090957808901698939,0.0040699274365250645,0.00027519082311023565,69043.0,59958.0,55317.0,524.0,628.0,281.0,19.0
Williamstown,0.992506655900838,0.947255880256593,0.0063722067039106147,0.0043863477653631284,0.0,0.00019640363128491621,45824.0,44896.0,42528.0,292.0,201.0,0.0,9.0
